title,date,startAt,endAt,description,executionMode,projects,lifeArea
Просыпание,2025-06-01,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
в спортзал,2025-06-01,03:00,03:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-01,03:15,03:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-01,03:30,03:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-01,03:45,04:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-01,04:00,04:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-01,04:15,04:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-01,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-01,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-01,05:00,05:15,,SELF,Здоровье и спорт,Крепкое здоровье
Просыпание,2025-06-02,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Тренировка,2025-06-02,08:00,08:15,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-02,08:15,08:30,,SELF,Здоровье и спорт,Крепкое здоровье
Муз курсы,2025-06-02,09:45,10:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,10:00,10:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,10:15,10:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,10:30,10:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,10:45,11:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,11:00,11:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,11:15,11:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,11:30,11:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,11:45,12:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,12:00,12:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,12:15,12:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,12:30,12:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-02,12:45,13:00,,SELF,Обучение профессии музыкант,Мощное творчество
Просыпание,2025-06-03,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Тренировка,2025-06-03,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-03,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-03,10:30,10:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-03,10:45,11:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-03,11:00,11:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-03,11:15,11:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-03,11:30,11:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-03,11:45,12:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-03,12:00,12:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-03,12:15,12:30,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-03,12:30,12:45,,SELF,Здоровье и спорт,Крепкое здоровье
Просыпание,2025-06-04,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Тренировка,2025-06-04,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-04,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
Java,2025-06-04,09:45,10:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-04,11:45,12:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-04,12:45,13:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-05,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Тренировка,2025-06-05,05:45,06:00,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-05,06:00,06:15,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-05,06:15,06:30,,SELF,Здоровье и спорт,Крепкое здоровье
в кампус,2025-06-05,07:00,07:15,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,07:15,07:30,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,07:30,07:45,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,07:45,08:00,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,08:30,08:45,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,08:45,09:00,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,09:00,09:15,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,09:15,09:30,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,09:30,09:45,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,09:45,10:00,,SELF,Бытовые дела,Уход за собой
в кампус,2025-06-05,10:00,10:15,,SELF,Бытовые дела,Уход за собой
Java,2025-06-05,10:30,10:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Поиск вакансий,2025-06-05,11:00,11:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Поиск вакансий,2025-06-05,11:15,11:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Поиск вакансий,2025-06-05,11:30,11:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Поиск вакансий,2025-06-05,11:45,12:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-05,12:15,12:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-05,12:30,12:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-05,12:45,13:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-06,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Тренировка,2025-06-06,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
Тренировка,2025-06-06,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
Java,2025-06-06,11:30,11:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,11:45,12:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,12:00,12:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,12:45,13:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,13:00,13:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,13:15,13:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,13:30,13:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-06,13:45,14:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-07,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Стоматолог,2025-06-07,04:00,04:15,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,04:15,04:30,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,05:00,05:15,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,05:15,05:30,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,05:30,05:45,,SELF,Здоровье и спорт,Крепкое здоровье
Стоматолог,2025-06-07,05:45,06:00,,SELF,Здоровье и спорт,Крепкое здоровье
Муз курсы,2025-06-07,07:45,08:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,08:00,08:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,08:15,08:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,08:30,08:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,08:45,09:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,09:00,09:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,09:15,09:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,09:30,09:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-07,09:45,10:00,,SELF,Обучение профессии музыкант,Мощное творчество
